sample_id,vlm_row_index,pdf_page,source_page,row_ordinal,headword,vlm_ipa,vlm_ipa_field,confidence,crop_path,crop_note,manual_headword_ok,manual_ipa_segment_ok,manual_tone_digits_ok,manual_all_ok,manual_note,printed_ipa_read,headword_ok,ipa_segment_ok,tone_digits_ok,all_ok,usable_ok,note
1,13,137,259,13,绍剧,zɒ11dʑieʔ5,zɒ11dʑieʔ5,0.9,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_01_pdf137_p259_r13.png,band:13/29 context=12-16 y=1080-1443,,,,,,z?11 d?ie?23/5?,1,1,0,0,1,segments match; tone on second syllable uncertain/wrong under conservative read
2,15,137,259,15,大戏,do11ɕi11,do11ɕi11,0.9,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_02_pdf137_p259_r15.png,band:15/29 context=14-18 y=1212-1575,,,,,,do11 ?i33,1,1,0,0,1,"second syllable tone appears 33, VLM has 11"
3,37,138,260,10,梅花,mE11huo52,mE11huo52,0.99,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_03_pdf138_p260_r10.png,band:10/27 context=9-13 y=969-1338,,,,,,mE11 huo52,1,1,1,1,1,right-lower priority gives 11/52
4,94,140,262,15,心相,ɕiŋ3ɕiaŋ3,ɕiŋ3ɕiaŋ3,0.99,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_04_pdf140_p262_r15.png,band:15/29 context=14-18 y=1238-1613,,,,,,?i?52/33 ?ia?33,1,1,0,0,1,VLM compressed multi-digit tones to single 3
5,183,143,265,19,右面,ɦiɤ113miẽ11,ɦiɤ113miẽ11,0.99,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_05_pdf143_p265_r19.png,band:19/28 context=18-22 y=1575-1956,,,,,,?i?113 mi?11,1,1,1,1,1,basically consistent under lower-tone priority
6,203,144,266,11,四角,sɿ33koʔ3,sɿ33koʔ3,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_06_pdf144_p266_r11.png,band:11/27 context=10-14 y=1060-1432,,,,,,s?33 ko?3,1,1,1,1,1,match
7,263,146,268,26,孵太阳,bu11tʰa33ɦiaŋ35,bu11tʰa33ɦiaŋ35,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_07_pdf146_p268_r26.png,band:26/29 context=25-28 y=1951-2262,,,,,,bu11 t?a33/55 ?ia?231/55,1,1,0,0,1,segments match; sun tones unstable
8,281,147,269,17,还潮,vãᴇ55dzɒ231,vãᴇ55dzɒ231,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_08_pdf147_p269_r17.png,band:17/28 context=16-20 y=1432-1811,,,,,,v??55 dz?231,1,1,1,1,1,match
9,390,151,273,21,搲,ɕiɒ52,ɕiɒ52,0.99,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_09_pdf151_p273_r21.png,band:21/29 context=20-24 y=1600-1984,,,,,,?i?52,1,1,1,1,1,visual read matches
10,642,160,282,26,烁,saʔ45,saʔ45,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_10_pdf160_p282_r26.png,band:26/28 context=25-27 y=2027-2263,,,,,,sa?45,1,1,1,1,1,match
11,779,166,288,1,头晕,dʏ231fiõ11dʏ231fiõ11,"dʏ231fiõ11,dʏ231fiõ11",0.9,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_11_pdf166_p288_r1.png,band:1/29 context=0-4 y=232-612,,,,,,"d?231 fi?11, d?11 fi?55",1,0,0,0,0,second variant duplicated as first; misses d?11fi?55
12,1022,175,297,5,打拼,taŋ335pʰiŋ52,taŋ335pʰiŋ52,0.99,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_12_pdf175_p297_r5.png,band:5/29 context=4-8 y=462-831,,,,,,ta?335 p?i?52,1,1,1,1,1,match
13,1223,182,304,27,骑脚踏车,dzi55tɕiaʔ5dæʔ5tsʰo52,dzi55tɕiaʔ5dæʔ5tsʰo52,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_13_pdf182_p304_r27.png,band:27/28 context=26-27 y=2094-2265,,,,,,dzi55 d??23 t?ia?45 ts?o52,1,0,0,0,0,syllable order/grouping and tones wrong
14,1317,186,308,12,翻斗,fæ52pẽ33tɤ33,fæ52pẽ33tɤ33,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_14_pdf186_p308_r12.png,band:12/30 context=11-15 y=956-1328,,,,,,??? f?55 p?33 t?33,0,0,0,0,0,VLM headword dropped middle character; alignment/entry error
15,1493,193,315,4,钝,dõ11,dõ11,0.9,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_15_pdf193_p315_r4.png,band:4/29 context=3-7 y=446-804,,,,,,d?11,1,1,1,1,1,match
16,1538,194,316,21,黏,ȵiɛ52,ȵiɛ52,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_16_pdf194_p316_r21.png,band:21/29 context=20-24 y=1634-2004,,,,,,?i?52,1,1,1,1,1,match
17,1754,202,324,26,讨债,tʰɒ335tsa33,tʰɒ335tsa33,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_17_pdf202_p324_r26.png,band:26/29 context=25-28 y=1993-2301,,,,,,t??335 tsa33,1,1,1,1,1,match
18,1771,203,325,14,下作,ɦo113tso45,ɦo113tso45,1.0,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_18_pdf203_p325_r14.png,band:14/29 context=13-17 y=1109-1469,,,,,,?io113 tso45,1,0,0,0,0,first syllable missing i; VLM has ?o113
19,2137,218,340,18,到介时光,tɒ33ka33zɿ231kuɒŋ52ta33ga33zɿ231kuɒŋ52,tɒ33ka33zɿ231kuɒŋ52ta33ga33zɿ231kuɒŋ52,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_19_pdf218_p340_r18.png,band:18/28 context=17-21 y=1400-1778,,,,,,"t?33ka33z?231ku??52, ta33ga33z?231ku??52",1,1,1,1,1,both readings captured
20,2159,219,341,15,来得[个],lE231teʔ45geʔ45koʔ,lE231te45geʔ45koʔ,0.95,ipa_ocr_work\eval\vlm_pages\sample_accuracy_20_context\sample_20_pdf219_p341_r15.png,band:15/30 context=14-18 y=1137-1505,,,,,,lE231 te?45 ge?45 ko??,1,1,0,0,1,segments mostly correct; final ko? tone incomplete/uncertain
